"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_AD.P_UPDATE_HR_DESIGNATION_RIGHT","PKG_AD","Confirmed Active","UpdateHRDesignationWiseRoleAssignment","AD","T_HR_DESIGNATIONS; T_GROUPS; DUAL","T_GROUP_RIGHTS","M_ID; T_CURSOR; T_GROUP_RIGHTS; T_HR_DESIGNATIONS; T_GROUPS","True"
"PKG_AD.P_GET_OBS_STATUS","PKG_AD","Confirmed Active","GetManageObservationStatus","AD","T_AU_OBSERVATION_STATUS","","T_CURSOR; T_AU_OBSERVATION_STATUS","True"
"PKG_AD.P_ADD_OBS_STATUS","PKG_AD","Confirmed Active","AddManageObservationStatus","AD","T_AU_OBSERVATION_STATUS; DUAL","T_AU_OBSERVATION_STATUS","T_CURSOR; T_AU_OBSERVATION_STATUS","True"
"PKG_AD.P_UPDATE_OBS_STATUS","PKG_AD","Confirmed Active","UpdateManageObservationStatus","AD","DUAL","T_AU_OBSERVATION_STATUS","T_CURSOR; T_AU_OBSERVATION_STATUS","True"
"PKG_AD.P_GET_ENTITIES_AUDIT_DEPARTMENT","PKG_AD","Confirmed Active","GetManageEntityAuditDept","AD","T_AUDIT_DEPARTMENTS","","T_CURSOR; T_AUDIT_DEPARTMENTS","True"
"PKG_AD.P_ADD_ENTITIES_AUDIT_DEPARTMENT","PKG_AD","Confirmed Active","AddManageEntityAuditDepartment","AD","","","","False"
"PKG_AD.P_UPDATE_ENTITIES_AUDIT_DEPARTMENT","PKG_AD","Confirmed Active","UpdateEntityAuditDepartment","AD","DUAL","T_AUDIT_DEPARTMENTS","T_CURSOR; T_AUDIT_DEPARTMENTS","True"
"PKG_AD.P_GET_ALL_MENU","PKG_AD","Confirmed Active","GetAllMenusForAdminPanel","AD","T_MENU","","T_CURSOR; T_MENU","True"
"PKG_AD.P_GET_SUB_MENUS","PKG_AD","Confirmed Active","GetSubMenusForAdminPanel","AD","T_MENU_SUB","","M_ID; T_CURSOR; T_MENU_SUB","True"
"PKG_AD.P_ADD_NEW_SUB_MENU","PKG_AD","Confirmed Active","AddSubMenuForAdminPanel","AD","T_MENU_SUB; DUAL","T_MENU_SUB","M_ID; T_CURSOR; T_MENU_SUB","True"
"PKG_AD.P_UPDATE_SUB_MENU","PKG_AD","Confirmed Active","UpdateSubMenuForAdminPanel","AD","DUAL","T_MENU_SUB","M_ID; T_CURSOR; T_MENU_SUB","True"
